Ссылка,Раздел,Уровень,Группа,Видимость,Родитель по полю раздел,min,max
subopts-for-2519m346,Axion 950,Level: 4,Group: 2,hidden,Axion,0,0
subopts-for-2519m346,Axion 960,Level: 4,Group: 2,hidden,Axion,0,0
subopts-for-2519,Axos,Level: 3,Group: 2,hidden,Claas,0,0
subopts-for-2519m850,Axos 310,Level: 4,Group: 2,hidden,Axos,0,0
subopts-for-2519m850,Axos 320,Level: 4,Group: 2,hidden,Axos,0,0
subopts-for-2519m850,Axos 330,Level: 4,Group: 2,hidden,Axos,0,0
subopts-for-2519m850,Axos 340,Level: 4,Group: 2,hidden,Axos,0,0
subopts-for-2519,Celtis,Level: 3,Group: 2,hidden,Claas,0,0
subopts-for-2519m841,Celtis 436,Level: 4,Group: 2,hidden,Celtis,0,0
subopts-for-2519m841,Celtis 446,Level: 4,Group: 2,hidden,Celtis,0,0
subopts-for-2519m841,Celtis 456,Level: 4,Group: 2,hidden,Celtis,0,0
subopts-for-2519,Challenger,Level: 3,Group: 2,hidden,Claas,0,0
subopts-for-2519m842,Challenger 55,Level: 4,Group: 2,hidden,Challenger,0,0
subopts-for-2519m842,Challenger 75,Level: 4,Group: 2,hidden,Challenger,0,0
subopts-for-2519m842,Challenger 85,Level: 4,Group: 2,hidden,Challenger,0,0
subopts-for-2519,Elios,Level: 3,Group: 2,hidden,Claas,0,0
subopts-for-2519m1259,Elios 210,Level: 4,Group: 2,hidden,Elios,0,0
subopts-for-2519m1259,Elios 220,Level: 4,Group: 2,hidden,Elios,0,0
subopts-for-2519m1259,Elios 230,Level: 4,Group: 2,hidden,Elios,0,0
subopts-for-2519,Jaguar,Level: 3,Group: 2,hidden,Claas,0,0
subopts-for-2519m25,Jaguar 950,Level: 4,Group: 2,hidden,Jaguar,0,0
subopts-for-2519,Nectis,Level: 3,Group: 2,hidden,Claas,0,0
subopts-for-2519,Nexos,Level: 3,Group: 2,hidden,Claas,0,0
subopts-for-2519m29344,Nexos 210,Level: 4,Group: 2,hidden,Nexos,0,0
subopts-for-2519m29344,Nexos 220,Level: 4,Group: 2,hidden,Nexos,0,0
subopts-for-2519m29344,Nexos 230,Level: 4,Group: 2,hidden,Nexos,0,0
subopts-for-2519m29344,Nexos 240,Level: 4,Group: 2,hidden,Nexos,0,0
subopts-for-2519,Pick up,Level: 3,Group: 2,hidden,Claas,0,0
subopts-for-2519,Xerion,Level: 3,Group: 2,hidden,Claas,0,0
subopts-for-2519m30,Xerion 3300,Level: 4,Group: 2,hidden,Xerion,0,0
subopts-for-2519m30,Xerion 3800,Level: 4,Group: 2,hidden,Xerion,0,0
subopts-for-2519m30,Xerion 4000,Level: 4,Group: 2,hidden,Xerion,0,0
subopts-for-2519m30,Xerion 4500,Level: 4,Group: 2,hidden,Xerion,0,0
subopts-for-2519m30,Xerion 5000,Level: 4,Group: 2,hidden,Xerion,0,0
with-found-stat,Cub Cadet,Level: 2,Group: 2,hidden,Марка,0,0
subopts-for-5725,Z-Force,Level: 3,Group: 2,hidden,Cub Cadet,0,0
with-found-stat,DAF,Level: 2,Group: 2,hidden,Марка,0,0
subopts-for-2525,CF,Level: 3,Group: 2,hidden,DAF,0,0
subopts-for-2525m1,CF 85,Level: 4,Group: 2,hidden,CF,0,0
subopts-for-2525m4327,CF 85 460,Level: 5,Group: 2,hidden,CF 85,0,0
subopts-for-2525,XF,Level: 3,Group: 2,hidden,DAF,0,0
with-found-stat,DAVID BROWN,Level: 2,Group: 2,hidden,Марка,0,0
subopts-for-5696,770,Level: 3,Group: 2,hidden,DAVID BROWN,0,0
subopts-for-5696,990,Level: 3,Group: 2,hidden,DAVID BROWN,0,0
subopts-for-5696,995,Level: 3,Group: 2,hidden,DAVID BROWN,0,0
subopts-for-5696,1210,Level: 3,Group: 2,hidden,DAVID BROWN,0,0
subopts-for-5696,1410,Level: 3,Group: 2,hidden,DAVID BROWN,0,0
with-found-stat with-found-stat,DFSK,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat,DRAGONE,Level: 2,Group: 2,hidden,Марка,0,0
subopts-for-5653,VP,Level: 3,Group: 2,hidden,DRAGONE,0,0
with-found-stat,Deutz,Level: 2,Group: 2,hidden,Марка,0,0
subopts-for-2533,D-series,Level: 3,Group: 2,hidden,Deutz,0,0
subopts-for-2533m25890,D 4006,Level: 4,Group: 2,hidden,D-series,0,0
with-found-stat,Deutz-Fahr,Level: 2,Group: 2,hidden,Марка,0,0
subopts-for-4175,Agrofarm,Level: 3,Group: 2,hidden,Deutz-Fahr,0,0
subopts-for-4175m807,Agrofarm 85,Level: 4,Group: 2,hidden,Agrofarm,0,0
subopts-for-4175m807,Agrofarm 430,Level: 4,Group: 2,hidden,Agrofarm,0,0
subopts-for-4175,Agrokid,Level: 3,Group: 2,hidden,Deutz-Fahr,0,0
subopts-for-4175m806,Agrokid 210,Level: 4,Group: 2,hidden,Agrokid,0,0
subopts-for-4175m806,Agrokid 230,Level: 4,Group: 2,hidden,Agrokid,0,0
subopts-for-4175,Agrolux,Level: 3,Group: 2,hidden,Deutz-Fahr,0,0
